학교명,설립형태,시도명,주소,설립일,lon,lat
대구예술대,사립,경상북도,경상북도 칠곡군 가산면 다부거문1길 202,1996-12-11,128.508091368043,36.0314193188668
대구외국어대,사립,경상북도,경상북도 경산시 남천면 남천로 730,2003-03-01,128.727219377087,35.7848849234309
대구한의대,사립,경상북도,경상북도 경산시 한의대로 1,1980-12-29,128.777349373373,35.7940191335145
대신대,사립,경상북도,경상북도 경산시 경청로222길 33,1996-12-11,128.745137321159,35.8039447889529
대전가톨릭대,사립,세종특별자치시,세종특별자치시 전의면 가톨릭대학로 30,1993-03-01,127.197010251582,36.6545676995903
대전대,사립,대전광역시,대전광역시 동구 대학로 62,1980-12-29,127.459001869396,36.336696167799
대전신학대,사립,대전광역시,대전광역시 대덕구 한남로 41,2009-03-01,127.424015937587,36.3495481063766
대진대,사립,경기도,경기도 포천시 호국로 1007,1991-11-15,127.157554125254,37.8738102149097
덕성여자대,사립,서울특별시,서울특별시 도봉구 삼양로144길 33,1950-05-17,127.015834944956,37.6524704146763
동국대,사립,서울특별시,서울특별시 중구 필동로1길 30,1946-09-20,126.998737605491,37.5589366401553
동덕여자대,사립,서울특별시,서울특별시 성북구 화랑로13길 60,1950-05-27,127.041176301847,37.6068148327539
동명대,사립,부산광역시,부산광역시 남구 신선로 428,2006-03-01,129.101380307339,35.1246904251562
동서대,사립,부산광역시,부산광역시 사상구 주례로 47,1992-03-02,129.007038894696,35.1460786494674
동신대,사립,전라남도,전라남도 나주시 동신대길 67,1986-12-31,126.7179925226,35.0496248791451
동아대,사립,부산광역시,부산광역시 사하구 낙동대로550번길 37,1946-11-01,128.96808496718,35.1188093910081
동양대,사립,경상북도,경상북도 영주시 풍기읍 동양대로 145,1994-03-01,128.529936995112,36.8858482031431
동의대,사립,부산광역시,부산광역시 부산진구 엄광로 176,1979-01-10,129.036309884005,35.1443184545334
디지털서울문화예술대,사립,서울특별시,서울특별시 서대문구 통일로37길 60,2010-03-01,126.943879163212,37.5854437357557
루터대,사립,경기도,경기도 용인시 기흥구 금화로82번길 20,1997-12-05,127.113373362229,37.2644343800955
명지대,사립,경기도,경기도 용인시 처인구 명지로 116,1948-09-07,127.190183727516,37.2218072639192
목원대,사립,대전광역시,대전광역시 서구 도안북로 88,1965-01-13,127.337446736796,36.328866131856
목포가톨릭대,사립,전라남도,전라남도 목포시 영산로 697,1999-12-17,126.4198974075,34.8272766768797
목포대,국립,전라남도,전라남도 무안군 청계면 영산로 1666,1946-10-31,126.440210194715,34.9103065584639
목포해양대,국립,전라남도,전라남도 목포시 해양대학로 91,1993-03-01,126.366830400594,34.7917749223182
배재대,사립,대전광역시,대전광역시 서구 배재로 155-40,1980-12-29,127.366074460163,36.3232382774419
백석대,사립,충청남도,충청남도 천안시 동남구 백석대학로 1,1994-03-01,127.182520646399,36.8388372068096
부경대,국립,부산광역시,부산광역시 남구 용소로 45,1996-07-06,129.104865521163,35.1311752099157
부산가톨릭대,사립,부산광역시,부산광역시 금정구 오륜대로 57,1990-12-24,129.096871971614,35.2446753071785
부산교육대,국립,부산광역시,부산광역시 연제구 교대로 24,1946-09-02,129.077082516289,35.195693209948
부산대,국립,부산광역시,부산광역시 금정구 부산대학로63번길 2,1946-05-15,129.08382445362,35.2322427971605
부산디지털대,사립,부산광역시,부산광역시 사상구 주례로 57,2001-11-01,129.009614631444,35.146361806536
부산외국어대,사립,부산광역시,부산광역시 금정구 금샘로485번길 65,1982-03-12,129.08055329643,35.2661894921034
부산장신대,사립,경상남도,경상남도 김해시 김해대로 1894-68,2000-11-29,128.861718196765,35.256310877582
사이버한국외국어대,사립,서울특별시,서울특별시 동대문구 이문로 107,2004-03-01,127.057942413722,37.5982966771548
삼육대,사립,서울특별시,서울특별시 노원구 화랑로 815,1962-02-27,127.108850343184,37.643357369067
상명대,사립,서울특별시,서울특별시 종로구 홍지문2길 20,1965-01-13,126.955159496571,37.604108905882
상지대,사립,강원도,강원도 원주시 상지대길 83,1955-06-10,127.929915065919,37.3691192870384
서강대,사립,서울특별시,서울특별시 마포구 백범로 35,1960-04-18,126.943024997981,37.5514693075541
서경대,사립,서울특별시,서울특별시 성북구 서경로 124,1992-09-01,127.013565764354,37.6154147804327
서남대,사립,전라북도,전라북도 남원시 춘향로 439,1991-02-28,127.37102093931,35.4472389024286
서울과학기술대,국립,서울특별시,서울특별시 노원구 공릉로 232,2012-03-01,127.076794742851,37.6330789279387
서울교육대,국립,서울특별시,서울특별시 서초구 서초중앙로 96,1946-05-22,127.015424537648,37.4907404857731
서울기독대,사립,서울특별시,서울특별시 은평구 갈현로4길 26-2,1997-12-05,126.91219242164,37.6007568622066
서울대,국립대법인,서울특별시,서울특별시 관악구 관악로 1,1946-08-22,126.94815644252,37.4662872666604
서울디지털대,사립,서울특별시,서울특별시 강서구 공항대로 424,2001-03-01,126.854020068213,37.5550004979763
서울사이버대,사립,서울특별시,서울특별시 강북구 솔매로49길 60,2000-11-30,127.027123065417,37.629843917766
서울시립대,공립,서울특별시,서울특별시 동대문구 서울시립대로 163,1918-05-01,127.059988126984,37.5825775765293
서울신학대,사립,경기도,경기도 부천시 소사구 호현로489번길 52,1959-02-26,126.790003509195,37.4783249527733
서울여자대,사립,서울특별시,서울특별시 노원구 화랑로 621,1960-12-12,127.091621159803,37.6273815936787
서울장신대,사립,경기도,경기도 광주시 경안로 145,1984-12-21,127.245540620832,37.4091640890664
서울한영대,사립,서울특별시,서울특별시 구로구 경인로 290-42,1996-11-11,126.8512499816,37.4965810660171
서원대,사립,충청북도,충청북도 청주시 서원구 무심서로 377-3,1968-03-09,127.482117612634,36.6259797378128
선문대,사립,충청남도,충청남도 아산시 탕정면 선문로221번길 70,1990-03-08,127.075732161892,36.8010404471004
성결대,사립,경기도,경기도 안양시 만안구 성결대학로 53,1965-01-13,126.928810441112,37.379865723701
성공회대,사립,서울특별시,서울특별시 구로구 연동로 320,1992-12-23,126.826163535057,37.4875235978289
성균관대,사립,서울특별시,서울특별시 종로구 성균관로 25-2,1946-09-25,126.993115116294,37.5872284082508
성신여자대,사립,서울특별시,서울특별시 성북구 보문로34다길 2,1965-01-13,127.02214561649,37.5916524767249
세명대,사립,충청북도,충청북도 제천시 세명로 65,1990-11-28,128.19615854481,37.173842353131
세종대,사립,서울특별시,서울특별시 광진구 능동로 209,1978-10-07,127.07318364213,37.5516093089619
세종사이버대,사립,서울특별시,서울특별시 광진구 군자로 121,2001-03-01,127.072886829447,37.5537274682721
세한대,사립,전라남도,전라남도 영암군 삼호읍 녹색로 1113,1994-03-10,126.483263979897,34.7453774187142
송원대,사립,광주광역시,광주광역시 남구 송암로 73,2012-03-01,126.873266442573,35.1081845052901
수원가톨릭대,사립,경기도,경기도 화성시 봉담읍 왕림1길 67,1984-03-02,126.933337951201,37.1958155074953
수원대,사립,경기도,경기도 화성시 봉담읍 와우안길 17,1981-12-26,126.979480352479,37.2101174847642
숙명여자대,사립,서울특별시,서울특별시 용산구 청파로47길 90,1938-12-21,126.965412466897,37.5452862346703
순복음총회신,사립,충청북도,충청북도 제천시 덕산면 도전로 320,2010-03-08,128.167851885448,36.9042423883697
순천대,국립,전라남도,전라남도 순천시 중앙로 255,1982-03-10,127.480923056778,34.9667612819538
순천향대,사립,충청남도,충청남도 아산시 신창면 순천향로 22,1978-03-01,126.928936482966,36.7683515094009
숭실대,사립,서울특별시,서울특별시 동작구 상도로 369,1897-10-10,126.955157917408,37.4964289688636
숭실사이버대,사립,서울특별시,서울특별시 종로구 삼일대로30길 23,2009-03-01,126.988775780571,37.574475499893
신라대,사립,부산광역시,부산광역시 사상구 백양대로700번길 140,1969-12-27,128.99779692981,35.1720524953802
신한대,사립,경기도,경기도 동두천시 벌마들로40번길 30,2014-03-01,127.037887481412,37.9038706043379
아신대,사립,경기도,경기도 양평군 옥천면 경강로 1276,1981-12-26,127.428928259716,37.5112170735026
아주대,사립,경기도,경기도 수원시 영통구 월드컵로 206,1973-03-15,127.043660039022,37.2830563756566
안동대,국립,경상북도,경상북도 안동시 경동로 1375,1979-03-12,128.79756403132,36.5414384997503
안양대,사립,경기도,경기도 안양시 만안구 삼덕로37번길 22,1948-09-17,126.92052628235,37.3917681912577
연세대,사립,서울특별시,서울특별시 서대문구 연세로 50,1957-01-05,126.943916239886,37.5660508394158
영남대,사립,경상북도,경상북도 경산시 대학로 280,1967-12-22,128.75218013148,35.8304916312343
영남신학대,사립,경상북도,경상북도 경산시 진량읍 봉회1길 26,1993-12-17,128.818066570159,35.8803963728555
영산대,사립,경상남도,경상남도 양산시 주남로 288,2005-12-21,129.144634800956,35.4283933160763
영산선학대,사립,전라남도,전라남도 영광군 백수읍 성지로 1357,1997-03-03,126.441339990491,35.3273523314123
예수대,사립,전라북도,전라북도 전주시 완산구 서원로 383,2003-03-01,127.134788546126,35.8160936109445
