등급,과목,구분 점수,인원(명),비율(%)
9,한국사,35미만,"1,316",3.53
1,한국 지리,64,"4,582",4.88
2,한국 지리,62,"8,607",9.17
3,한국 지리,60,"9,166",9.76
4,한국 지리,55,"16,104",17.15
5,한국 지리,47,"19,448",20.71
6,한국 지리,41,"14,556",15.5
7,한국 지리,36,"13,035",13.88
8,한국 지리,33,"5,362",5.71
9,한국 지리,33미만,"3,042",3.24
1,동아시아사,65,"1,570",4.93
2,동아시아사,63,"2,516",7.91
3,동아시아사,59,"4,718",14.82
4,동아시아사,55,"4,118",12.94
5,동아시아사,47,"6,379",20.04
6,동아시아사,40,"6,045",18.99
7,동아시아사,37,"3,086",9.7
8,동아시아사,34,"2,281",7.17
9,동아시아사,34미만,"1,114",3.5
1,세계사,64,"1,624",7.29
2,세계사,62,"2,092",9.39
3,세계사,60,"1,930",8.66
4,세계사,55,"3,797",17.04
5,세계사,47,"3,975",17.84
6,세계사,40,"4,059",18.22
7,세계사,36,"3,124",14.02
8,세계사,34,890,3.99
9,세계사,34미만,792,3.55
1,법과 정치,66,"1,474",5.14
2,법과 정치,64,"2,009",7
3,법과 정치,60,"3,485",12.15
4,법과 정치,54,"4,813",16.77
5,법과 정치,46,"5,927",20.66
6,법과 정치,41,"4,586",15.98
7,법과 정치,37,"3,598",12.54
8,법과 정치,34,"2,047",7.13
9,법과 정치,34미만,755,2.63
1,세계 지리,63,"3,275",8.2
2,세계 지리,61,"4,067",10.18
3,세계 지리,59,"3,177",7.95
4,세계 지리,55,"6,887",17.24
5,세계 지리,48,"7,219",18.07
6,세계 지리,40,"6,820",17.07
7,세계 지리,36,"4,539",11.36
8,세계 지리,32,"2,621",6.56
9,세계 지리,32미만,"1,353",3.39
1,경제,68,336,4.6
2,경제,65,513,7.02
3,경제,60,855,11.71
4,경제,52,"1,284",17.58
5,경제,45,"1,521",20.82
6,경제,41,"1,183",16.2
7,경제,39,879,12.03
8,경제,36,570,7.8
9,경제,36미만,163,2.23
1,사회·문화,64,"12,012 ",7.31 
2,사회·문화,62,"14,054 ",8.56 
3,사회·문화,59,"15,641 ",9.52 
4,사회·문화,55,"24,665 ",15.01 
5,사회·문화,47,"34,966 ",21.29 
6,사회·문화,40,"31,509 ",19.18 
7,사회·문화,36,"15,282 ",9.30 
8,사회·문화,33,"10,478 ",6.38 
9,사회·문화,33미만,"5,666 ",3.45 
1,물리 Ⅰ,66,"2,468",4.9
2,물리 Ⅰ,62,"3,227",6.41
3,물리 Ⅰ,58,"7,616",15.12
4,물리 Ⅰ,54,"6,965",13.83
5,물리 Ⅰ,48,"10,277",20.4
6,물리 Ⅰ,41,"9,257",18.38
7,물리 Ⅰ,36,"5,996",11.9
8,물리 Ⅰ,32,"3,161",6.27
9,물리 Ⅰ,32미만,"1,410",2.8
1,화학 Ⅰ,64,"8,603",6.99
2,화학 Ⅰ,62,"7,499",6.09
3,화학 Ⅰ,59,"13,526",10.99
4,화학 Ⅰ,55,"20,819",16.91
5,화학 Ⅰ,48,"26,170",21.25
6,화학 Ⅰ,41,"18,366",14.92
7,화학 Ⅰ,36,"16,021",13.01
8,화학 Ⅰ,32,"7,633",6.2
9,화학 Ⅰ,32미만,"4,489",3.65
1,생명 과학 Ⅰ,68,"5,964",4.17
2,생명 과학 Ⅰ,63,"10,909",7.63
3,생명 과학 Ⅰ,58,"17,525",12.26
4,생명 과학 Ⅰ,52,"27,619",19.32
5,생명 과학 Ⅰ,46,"26,868",18.79
6,생명 과학 Ⅰ,41,"22,641",15.84
7,생명 과학 Ⅰ,38,"16,165",11.31
8,생명 과학 Ⅰ,35,"9,731",6.81
9,생명 과학 Ⅰ,35미만,"5,556",3.89
1,지구 과학 Ⅰ,67,"4,536",4.38
2,지구 과학 Ⅰ,64,"6,929",6.69
3,지구 과학 Ⅰ,58,"13,923",13.45
4,지구 과학 Ⅰ,53,"17,599",17
5,지구 과학 Ⅰ,47,"20,182",19.5
6,지구 과학 Ⅰ,41,"18,222",17.6
7,지구 과학 Ⅰ,37,"13,302",12.85
8,지구 과학 Ⅰ,34,"5,303",5.12
9,지구 과학 Ⅰ,34미만,"3,522",3.4
1,물리 Ⅱ,63,402,11.56
2,물리 Ⅱ,-,-,-
3,물리 Ⅱ,60,436,12.53
4,물리 Ⅱ,56,598,17.19
5,물리 Ⅱ,45,676,19.43
6,물리 Ⅱ,39,794,22.82
7,물리 Ⅱ,37,329,9.46
8,물리 Ⅱ,35,182,5.23
9,물리 Ⅱ,35미만,62,1.78
1,화학 Ⅱ,64,317,8.05
2,화학 Ⅱ,62,144,3.66
3,화학 Ⅱ,59,584,14.84
4,화학 Ⅱ,55,629,15.98
5,화학 Ⅱ,48,712,18.09
6,화학 Ⅱ,40,750,19.05
7,화학 Ⅱ,36,376,9.55
8,화학 Ⅱ,33,274,6.96
9,화학 Ⅱ,33미만,150,3.81
1,생명 과학 Ⅱ,64,"1,274",5.44
2,생명 과학 Ⅱ,62,"2,220",9.49
3,생명 과학 Ⅱ,59,"2,916",12.46
4,생명 과학 Ⅱ,56,"3,086",13.19
5,생명 과학 Ⅱ,48,"4,585",19.59
6,생명 과학 Ⅱ,39,"4,890",20.89
7,생명 과학 Ⅱ,36,"2,432",10.39
8,생명 과학 Ⅱ,34,"1,242",5.31
9,생명 과학 Ⅱ,34미만,760,3.25
1,지구 과학 Ⅱ,64,838,8.02
2,지구 과학 Ⅱ,62,982,9.4
3,지구 과학 Ⅱ,60,895,8.57
4,지구 과학 Ⅱ,55,"1,507",14.43
5,지구 과학 Ⅱ,45,"2,434",23.31
6,지구 과학 Ⅱ,40,"1,723",16.5
7,지구 과학 Ⅱ,37,"1,102",10.55
8,지구 과학 Ⅱ,35,577,5.53
9,지구 과학 Ⅱ,35미만,385,3.69
1,농생명 산업,135,18,4.31
2,농생명 산업,128,31,7.42
3,농생명 산업,115,51,12.2
4,농생명 산업,104,69,16.51
5,농생명 산업,95,94,22.49
6,농생명 산업,85,66,15.79
7,농생명 산업,77,45,10.77
8,농생명 산업,64,29,6.94
9,농생명 산업,64미만,15,3.59
1,공업,136,136,4.77
2,공업,130,192,6.73
3,공업,119,339,11.88
4,공업,102,505,17.69
5,공업,91,601,21.06
6,공업,83,492,17.24
7,공업,76,342,11.98
8,공업,71,135,4.73
9,공업,71미만,112,3.92
1,상업 정보,137,138,4.4
2,상업 정보,130,207,6.61
3,상업 정보,118,384,12.26
4,상업 정보,102,542,17.3
5,상업 정보,91,618,19.73
6,상업 정보,83,579,18.48
7,상업 정보,77,362,11.55
8,상업 정보,72,202,6.45
9,상업 정보,72미만,101,3.22
1,수산·해운,131,5,8.77
2,수산·해운,119,3,5.26
3,수산·해운,116,6,10.53
4,수산·해운,105,10,17.54
5,수산·해운,96,11,19.3
6,수산·해운,84,10,17.54
7,수산·해운,76,7,12.28
8,수산·해운,63,3,5.26
9,수산·해운,63미만,2,3.51
1,가사·실업,135,48,4.57
2,가사·실업,128,86,8.19
3,가사·실업,119,116,11.05
4,가사·실업,104,171,16.29
5,가사·실업,90,237,22.57
6,가사·실업,83,165,15.71
7,가사·실업,77,125,11.9
8,가사·실업,71,63,6
9,가사·실업,71미만,39,3.71
1,독일어 Ⅰ,65,77,5.38
2,독일어 Ⅰ,62,162,11.31
3,독일어 Ⅰ,60,132,9.22
4,독일어 Ⅰ,55,213,14.87
5,독일어 Ⅰ,45,286,19.97
6,독일어 Ⅰ,39,320,22.35
7,독일어 Ⅰ,37,151,10.54
8,독일어 Ⅰ,35,57,3.98
9,독일어 Ⅰ,35미만,34,2.37
1,프랑스어 Ⅰ,63,91,5.84
2,프랑스어 Ⅰ,61,142,9.11
3,프랑스어 Ⅰ,59,152,9.76
4,프랑스어 Ⅰ,56,277,17.78
5,프랑스어 Ⅰ,47,301,19.32
6,프랑스어 Ⅰ,40,261,16.75
7,프랑스어 Ⅰ,36,199,12.77
8,프랑스어 Ⅰ,34,80,5.13
9,프랑스어 Ⅰ,34미만,55,3.53
1,스페인어 Ⅰ,65,82,5.54
2,스페인어 Ⅰ,62,158,10.67
3,스페인어 Ⅰ,60,114,7.7
4,스페인어 Ⅰ,55,249,16.81
5,스페인어 Ⅰ,46,300,20.26
6,스페인어 Ⅰ,40,259,17.49
7,스페인어 Ⅰ,37,172,11.61
8,스페인어 Ⅰ,35,120,8.1
9,스페인어 Ⅰ,35미만,27,1.82
1,중국어 Ⅰ,65,285,6.6
2,중국어 Ⅰ,62,239,5.53
3,중국어 Ⅰ,59,518,12
4,중국어 Ⅰ,55,732,16.95
5,중국어 Ⅰ,46,928,21.49
6,중국어 Ⅰ,40,623,14.43
7,중국어 Ⅰ,36,747,17.3
8,중국어 Ⅰ,34,129,2.99
9,중국어 Ⅰ,34미만,117,2.71
1,일본어 Ⅰ,64,359,5.63
2,일본어 Ⅰ,61,557,8.73
3,일본어 Ⅰ,59,673,10.55
4,일본어 Ⅰ,56,969,15.19
5,일본어 Ⅰ,48,"1,418",22.23
6,일본어 Ⅰ,40,949,14.88
7,일본어 Ⅰ,36,871,13.66
8,일본어 Ⅰ,33,391,6.13
9,일본어 Ⅰ,33미만,191,2.99
1,러시아어 Ⅰ,69,77,8.36
2,러시아어 Ⅰ,67,53,5.75
3,러시아어 Ⅰ,60,89,9.66
4,러시아어 Ⅰ,47,171,18.57
5,러시아어 Ⅰ,44,204,22.15
6,러시아어 Ⅰ,43,132,14.33
7,러시아어 Ⅰ,41,146,15.85
8,러시아어 Ⅰ,40,21,2.28
9,러시아어 Ⅰ,40미만,28,3.04
1,아랍어 Ⅰ,66,"1,594",4.25
2,아랍어 Ⅰ,57,"2,905",7.74
3,아랍어 Ⅰ,53,"5,448",14.52
4,아랍어 Ⅰ,50,"6,240",16.63
5,아랍어 Ⅰ,47,"8,467",22.56
6,아랍어 Ⅰ,44,"6,632",17.67
7,아랍어 Ⅰ,42,"2,194",5.85
8,아랍어 Ⅰ,40,"2,796",7.45
9,아랍어 Ⅰ,40미만,"1,250",3.33
1,기초 베트남어,68,"1,024",7.85
2,기초 베트남어,67,491,3.77
3,기초 베트남어,62,"1,569",12.03
4,기초 베트남어,47,"2,226",17.07
5,기초 베트남어,44,"2,931",22.48
6,기초 베트남어,42,"2,569",19.7
7,기초 베트남어,41,"1,288",9.88
8,기초 베트남어,39,803,6.16
9,기초 베트남어,39미만,140,1.07
1,한문 Ⅰ,67,373,8.54
2,한문 Ⅰ,66,140,3.21
3,한문 Ⅰ,60,534,12.23
4,한문 Ⅰ,51,706,16.17
5,한문 Ⅰ,45,974,22.3
6,한문 Ⅰ,42,649,14.86
7,한문 Ⅰ,39,594,13.6
8,한문 Ⅰ,36,325,7.44
9,한문 Ⅰ,36미만,72,1.65
