등급,과목,구분 점수,인원(명),비율(%)
1,국어 A형,130,"11,671",4.25
2,국어 A형,125,"21,520",7.84
3,국어 A형,117,"33,865",12.33
4,국어 A형,108,"44,978",16.38
5,국어 A형,96,"53,196",19.37
6,국어 A형,84,"47,810",17.41
7,국어 A형,73,"31,996",11.65
8,국어 A형,63,"18,721",6.82
9,국어 A형,63미만,"10,867",3.96
1,국어 B형,129,"15,453",4.99
2,국어 B형,124,"20,507",6.62
3,국어 B형,117,"37,829",12.2
4,국어 B형,108,"53,580",17.28
5,국어 B형,97,"60,314",19.46
6,국어 B형,85,"51,543",16.63
7,국어 B형,72,"38,220",12.33
8,국어 B형,60,"21,334",6.88
9,국어 B형,60미만,"11,205",3.61
1,수학 A형,136,"18,240",4.66
2,수학 A형,130,"27,222",6.95
3,수학 A형,118,"49,091",12.54
4,수학 A형,104,"69,141",17.66
5,수학 A형,91,"73,900",18.88
6,수학 A형,82,"65,692",16.78
7,수학 A형,75,"56,545",14.45
8,수학 A형,72,"22,019",5.63
9,수학 A형,72미만,"9,580",2.45
1,수학 B형,124,"10,342",6.6
2,수학 B형,121,"14,077",8.98
3,수학 B형,118,"16,616",10.6
4,수학 B형,112,"24,237",15.47
5,수학 B형,99,"28,934",18.46
6,수학 B형,82,"27,026",17.25
7,수학 B형,69,"18,687",11.93
8,수학 B형,62,"11,508",7.34
9,수학 B형,62미만,"5,275",3.37
1,영어,130,"26,271",4.62
2,영어,124,"43,634",7.68
3,영어,117,"65,856",11.59
4,영어,108,"98,154",17.27
5,영어,96,"110,071",19.36
6,영어,83,"99,029",17.42
7,영어,73,"65,439",11.51
8,영어,63,"38,438",6.76
9,영어,63미만,"21,538",3.79
1,생활과 윤리,64,"11,647",6.71
2,생활과 윤리,62,"15,507",8.93
3,생활과 윤리,60,"15,618",8.99
4,생활과 윤리,55,"26,829",15.45
5,생활과 윤리,47,"36,266",20.88
6,생활과 윤리,41,"29,941",17.24
7,생활과 윤리,36,"19,658",11.32
8,생활과 윤리,32,"13,641",7.85
9,생활과 윤리,32미만,"4,580",2.64
1,윤리와 사상,65,"2,147",4.74
2,윤리와 사상,62,"4,754",10.51
3,윤리와 사상,59,"6,151",13.59
4,윤리와 사상,55,"5,742",12.69
5,윤리와 사상,46,"9,742",21.53
6,윤리와 사상,40,"6,960",15.38
7,윤리와 사상,36,"6,577",14.53
8,윤리와 사상,34,"1,843",4.07
9,윤리와 사상,34미만,"1,334",2.95
1,한국사,63,"3,901",10.47
2,한국사,62,"3,393",9.11
3,한국사,61,"1,838",4.93
4,한국사,55,"6,570",17.64
5,한국사,44,"8,053",21.62
6,한국사,40,"6,289",16.88
7,한국사,38,"3,293",8.84
8,한국사,35,"2,601",6.98
