"등급","과목","구분 점수","인원(명)","비율(%)","","","","","","","",""
"2","경제","62","566","6.23","","","","","","","",""
"3","경제","60","1062","11.68","","","","","","","",""
"4","경제","56","1486","16.35","","","","","","","",""
"5","경제","47","1972","21.7","","","","","","","",""
"6","경제","40","1454","16","","","","","","","",""
"7","경제","36","1166","12.83","","","","","","","",""
"8","경제","33","584","6.43","","","","","","","",""
"9","경제","33","237","2.61","","","","","","","",""
"1","사회·문화","65","8595","5.36","","","","","","","",""
"2","사회·문화","63","11526","7.19","","","","","","","",""
"3","사회·문화","60","16957","10.58","","","","","","","",""
"4","사회·문화","54","32334","20.18","","","","","","","",""
"5","사회·문화","46","31612","19.73","","","","","","","",""
"6","사회·문화","41","23556","14.7","","","","","","","",""
"7","사회·문화","37","18749","11.7","","","","","","","",""
"8","사회·문화","33","11936","7.45","","","","","","","",""
"9","사회·문화","33","4968","3.1","","","","","","","",""
"1","물리 Ⅰ","68","2261","4.35","","","","","","","",""
"2","물리 Ⅰ","64","4104","7.89","","","","","","","",""
"3","물리 Ⅰ","59","5746","11.04","","","","","","","",""
"4","물리 Ⅰ","52","10051","19.32","","","","","","","",""
"5","물리 Ⅰ","46","9753","18.74","","","","","","","",""
"6","물리 Ⅰ","42","8284","15.92","","","","","","","",""
"7","물리 Ⅰ","38","6263","12.04","","","","","","","",""
"8","물리 Ⅰ","35","4235","8.14","","","","","","","",""
"9","물리 Ⅰ","35","1335","2.57","","","","","","","",""
"1","화학 Ⅰ","67","5579","4.12","","","","","","","",""
"2","화학 Ⅰ","63","9971","7.37","","","","","","","",""
"3","화학 Ⅰ","58","18173","13.43","","","","","","","",""
"4","화학 Ⅰ","54","21422","15.83","","","","","","","",""
"5","화학 Ⅰ","48","26493","19.57","","","","","","","",""
"6","화학 Ⅰ","41","25368","18.74","","","","","","","",""
"7","화학 Ⅰ","36","14765","10.91","","","","","","","",""
"8","화학 Ⅰ","33","9468","6.99","","","","","","","",""
"9","화학 Ⅰ","33","4121","3.04","","","","","","","",""
"1","생명 과학 Ⅰ","67","6871","4.91","","","","","","","",""
"2","생명 과학 Ⅰ","63","13065","9.34","","","","","","","",""
"3","생명 과학 Ⅰ","59","14298","10.23","","","","","","","",""
"4","생명 과학 Ⅰ","53","23852","17.06","","","","","","","",""
"5","생명 과학 Ⅰ","46","27565","19.72","","","","","","","",""
"6","생명 과학 Ⅰ","41","25117","17.96","","","","","","","",""
"7","생명 과학 Ⅰ","37","16792","12.01","","","","","","","",""
"8","생명 과학 Ⅰ","35","7393","5.29","","","","","","","",""
"9","생명 과학 Ⅰ","35","4861","3.48","","","","","","","",""
"1","지구 과학 Ⅰ","66","4623","5.49","","","","","","","",""
"2","지구 과학 Ⅰ","63","6530","7.76","","","","","","","",""
"3","지구 과학 Ⅰ","59","9264","11.01","","","","","","","",""
