등급,과목,구분 점수,인원(명),비율(%)
8,생명 과학 Ⅰ,34,"9,062",6.16
9,생명 과학 Ⅰ,34미만,"5,706",3.88
1,지구 과학 Ⅰ,65,"9,108",6.83
2,지구 과학 Ⅰ,63,"5,689",4.27
3,지구 과학 Ⅰ,60,"15,871",11.91
4,지구 과학 Ⅰ,54,"25,631",19.23
5,지구 과학 Ⅰ,47,"25,186",18.9
6,지구 과학 Ⅰ,41,"21,300",15.98
7,지구 과학 Ⅰ,36,"18,613",13.96
8,지구 과학 Ⅰ,34,"6,986",5.24
9,지구 과학 Ⅰ,34미만,"4,908",3.68
1,물리 Ⅱ,66,120,4.14
2,물리 Ⅱ,63,208,7.17
3,물리 Ⅱ,59,505,17.4
4,물리 Ⅱ,55,357,12.3
5,물리 Ⅱ,45,601,20.71
6,물리 Ⅱ,40,486,16.75
7,물리 Ⅱ,38,353,12.16
8,물리 Ⅱ,35,203,7
9,물리 Ⅱ,35미만,69,2.38
1,화학 Ⅱ,66,186,5.16
2,화학 Ⅱ,63,254,7.05
3,화학 Ⅱ,60,405,11.24
4,화학 Ⅱ,54,651,18.07
5,화학 Ⅱ,46,754,20.93
6,화학 Ⅱ,40,658,18.26
7,화학 Ⅱ,37,407,11.3
8,화학 Ⅱ,34,183,5.08
9,화학 Ⅱ,34미만,105,2.91
1,생명 과학 Ⅱ,64,944,6.61
2,생명 과학 Ⅱ,62,744,5.21
3,생명 과학 Ⅱ,59,"2,184",15.29
4,생명 과학 Ⅱ,55,"2,117",14.82
5,생명 과학 Ⅱ,46,"2,802",19.62
6,생명 과학 Ⅱ,40,"2,469",17.29
7,생명 과학 Ⅱ,37,"1,696",11.87
8,생명 과학 Ⅱ,34,806,5.64
9,생명 과학 Ⅱ,34미만,521,3.65
1,지구 과학 Ⅱ,67,526,5.22
2,지구 과학 Ⅱ,63,727,7.21
3,지구 과학 Ⅱ,59,"1,260",12.5
4,지구 과학 Ⅱ,53,"1,590",15.77
5,지구 과학 Ⅱ,46,"2,092",20.75
6,지구 과학 Ⅱ,41,"1,755",17.4
7,지구 과학 Ⅱ,37,"1,462",14.5
8,지구 과학 Ⅱ,35,384,3.81
9,지구 과학 Ⅱ,35미만,288,2.86
1,농업 이해,67,17,4.66
2,농업 이해,62,33,9.04
3,농업 이해,57,41,11.23
4,농업 이해,53,59,16.16
5,농업 이해,48,72,19.73
6,농업 이해,43,64,17.53
7,농업 이해,37,43,11.78
8,농업 이해,33,22,6.03
9,농업 이해,33미만,14,3.84
1,농업 기초 기술,67,15,4.44
2,농업 기초 기술,63,24,7.1
3,농업 기초 기술,59,40,11.83
4,농업 기초 기술,53,63,18.64
5,농업 기초 기술,47,61,18.05
6,농업 기초 기술,43,58,17.16
7,농업 기초 기술,37,40,11.83
8,농업 기초 기술,33,24,7.1
9,농업 기초 기술,33미만,13,3.85
1,공업 일반,67,129,5.71
2,공업 일반,64,141,6.24
3,공업 일반,59,292,12.93
4,공업 일반,53,379,16.78
5,공업 일반,47,415,18.38
6,공업 일반,42,402,17.8
7,공업 일반,38,265,11.74
8,공업 일반,33,180,7.97
9,공업 일반,33미만,55,2.44
1,기초 제도,69,104,4.99
2,기초 제도,65,170,8.16
3,기초 제도,59,229,10.99
4,기초 제도,50,365,17.51
5,기초 제도,45,446,21.4
6,기초 제도,42,336,16.12
7,기초 제도,39,233,11.18
8,기초 제도,37,138,6.62
9,기초 제도,37미만,63,3.02
1,상업 경제,69,172,6.58
2,상업 경제,64,190,7.27
3,상업 경제,58,260,9.95
4,상업 경제,51,428,16.37
5,상업 경제,46,548,20.96
6,상업 경제,42,482,18.44
7,상업 경제,39,257,9.83
8,상업 경제,35,202,7.73
9,상업 경제,35미만,75,2.87
1,회계 원리,69,149,5.82
2,회계 원리,65,139,5.43
3,회계 원리,59,305,11.91
4,회계 원리,51,530,20.7
5,회계 원리,46,438,17.11
6,회계 원리,42,465,18.16
7,회계 원리,38,301,11.76
8,회계 원리,36,133,5.2
9,회계 원리,36미만,100,3.91
1,해양의 이해,73,2,4.17
2,해양의 이해,61,5,10.42
3,해양의 이해,57,5,10.42
4,해양의 이해,51,11,22.92
5,해양의 이해,47,6,12.5
6,해양의 이해,43,8,16.67
7,해양의 이해,38,6,12.5
8,해양의 이해,33,4,8.33
9,해양의 이해,33미만,1,2.08
1,수산·해운 산업 기초,66,5,10
2,수산·해운 산업 기초,64,3,6
3,수산·해운 산업 기초,59,5,10
4,수산·해운 산업 기초,53,8,16
5,수산·해운 산업 기초,45,16,32
6,수산·해운 산업 기초,42,2,4
7,수산·해운 산업 기초,38,6,12
8,수산·해운 산업 기초,34,4,8
9,수산·해운 산업 기초,34미만,1,2
1,인간 발달,67,73,7.16
2,인간 발달,65,45,4.42
3,인간 발달,59,132,12.95
4,인간 발달,51,162,15.9
5,인간 발달,45,241,23.65
6,인간 발달,41,201,19.73
7,인간 발달,39,62,6.08
8,인간 발달,36,75,7.36
9,인간 발달,36미만,28,2.75
1,생활 서비스 산업의 이해,69,46,4.21
2,생활 서비스 산업의 이해,63,80,7.32
3,생활 서비스 산업의 이해,57,143,13.08
4,생활 서비스 산업의 이해,52,170,15.55
5,생활 서비스 산업의 이해,47,235,21.5
6,생활 서비스 산업의 이해,42,196,17.93
7,생활 서비스 산업의 이해,39,108,9.88
8,생활 서비스 산업의 이해,33,76,6.95
9,생활 서비스 산업의 이해,33미만,39,3.57
1,독일어 Ⅰ,64,101,8.05
2,독일어 Ⅰ,63,68,5.42
3,독일어 Ⅰ,60,146,11.63
4,독일어 Ⅰ,55,191,15.22
5,독일어 Ⅰ,45,265,21.12
6,독일어 Ⅰ,39,273,21.75
7,독일어 Ⅰ,37,136,10.84
8,독일어 Ⅰ,36,26,2.07
9,독일어 Ⅰ,36미만,49,3.9
1,프랑스어 Ⅰ,63,71,5.51
2,프랑스어 Ⅰ,62,96,7.45
3,프랑스어 Ⅰ,59,231,17.93
4,프랑스어 Ⅰ,56,163,12.66
5,프랑스어 Ⅰ,46,235,18.25
6,프랑스어 Ⅰ,39,260,20.19
7,프랑스어 Ⅰ,36,148,11.49
8,프랑스어 Ⅰ,35,34,2.64
9,프랑스어 Ⅰ,35미만,50,3.88
1,스페인어 Ⅰ,65,81,6.41
2,스페인어 Ⅰ,63,95,7.52
3,스페인어 Ⅰ,60,156,12.35
4,스페인어 Ⅰ,55,179,14.17
5,스페인어 Ⅰ,44,266,21.06
6,스페인어 Ⅰ,40,238,18.84
7,스페인어 Ⅰ,38,155,12.27
8,스페인어 Ⅰ,36,54,4.28
9,스페인어 Ⅰ,36미만,39,3.09
1,중국어 Ⅰ,64,268,6.73
2,중국어 Ⅰ,62,209,5.25
3,중국어 Ⅰ,59,511,12.83
4,중국어 Ⅰ,55,785,19.71
5,중국어 Ⅰ,47,625,15.7
6,중국어 Ⅰ,40,670,16.83
7,중국어 Ⅰ,37,485,12.18
8,중국어 Ⅰ,34,358,8.99
9,중국어 Ⅰ,34미만,71,1.78
1,일본어 Ⅰ,66,274,4.58
2,일본어 Ⅰ,63,531,8.87
3,일본어 Ⅰ,60,586,9.79
4,일본어 Ⅰ,54,"1,075",17.96
5,일본어 Ⅰ,46,"1,280",21.38
6,일본어 Ⅰ,40,"1,013",16.92
7,일본어 Ⅰ,37,730,12.19
8,일본어 Ⅰ,35,285,4.76
9,일본어 Ⅰ,35미만,213,3.56
1,러시아어 Ⅰ,71,35,4.34
2,러시아어 Ⅰ,68,61,7.56
3,러시아어 Ⅰ,58,94,11.65
4,러시아어 Ⅰ,47,148,18.34
5,러시아어 Ⅰ,44,256,31.72
6,러시아어 Ⅰ,43,57,7.06
7,러시아어 Ⅰ,42,96,11.9
8,러시아어 Ⅰ,40,38,4.71
9,러시아어 Ⅰ,40미만,22,2.73
1,아랍어 Ⅰ,75,"2,126",4.04
2,아랍어 Ⅰ,57,"4,844",9.2
3,아랍어 Ⅰ,53,"6,709",12.75
4,아랍어 Ⅰ,50,"7,506",14.26
5,아랍어 Ⅰ,46,"14,611",27.76
