"등급","과목","구분점수","도수(명)","비율(%)","","","","","","","",""
"1","법과 정치","65","3489","9.13","","","","","","","",""
"2","법과 정치","63","1299","3.4","","","","","","","",""
"3","법과 정치","60","4011","10.5","","","","","","","",""
"4","법과 정치","54","7139","18.69","","","","","","","",""
"5","법과 정치","47","7262","19.01","","","","","","","",""
"6","법과 정치","41","6359","16.65","","","","","","","",""
"7","법과 정치","37","4602","12.05","","","","","","","",""
"8","법과 정치","34","2689","7.04","","","","","","","",""
"9","법과 정치","34","1353","3.54","","","","","","","",""
"1","경제","64","1123","8.37","","","","","","","",""
"2","경제","63","480","3.58","","","","","","","",""
"3","경제","59","2111","15.73","","","","","","","",""
"4","경제","55","1689","12.59","","","","","","","",""
"5","경제","47","2951","21.99","","","","","","","",""
"6","경제","41","2193","16.34","","","","","","","",""
"7","경제","36","1587","11.83","","","","","","","",""
"8","경제","33","860","6.41","","","","","","","",""
"9","경제","33","426","3.17","","","","","","","",""
"1","사회·문화","65","7203","4.64","","","","","","","",""
"2","사회·문화","62","18360","11.83","","","","","","","",""
"3","사회·문화","59","14777","9.52","","","","","","","",""
"4","사회·문화","54","25395","16.36","","","","","","","",""
"5","사회·문화","48","27999","18.03","","","","","","","",""
"6","사회·문화","40","32097","20.67","","","","","","","",""
"7","사회·문화","36","15881","10.23","","","","","","","",""
"8","사회·문화","33","9934","6.4","","","","","","","",""
"9","사회·문화","33","3603","2.32","","","","","","","",""
"1","물리Ⅰ","67","2246","4.26","","","","","","","",""
"2","물리Ⅰ","64","3648","6.92","","","","","","","",""
"3","물리Ⅰ","59","7868","14.93","","","","","","","",""
"4","물리Ⅰ","53","9231","17.52","","","","","","","",""
"5","물리Ⅰ","46","9769","18.54","","","","","","","",""
"6","물리Ⅰ","41","8434","16.01","","","","","","","",""
"7","물리Ⅰ","37","7009","13.3","","","","","","","",""
"8","물리Ⅰ","34","2587","4.91","","","","","","","",""
"9","물리Ⅰ","34","1900","3.61","","","","","","","",""
"1","화학Ⅰ","65","6745","4.93","","","","","","","",""
"2","화학Ⅰ","62","11568","8.46","","","","","","","",""
"3","화학Ⅰ","59","14203","10.39","","","","","","","",""
"4","화학Ⅰ","55","23202","16.97","","","","","","","",""
"5","화학Ⅰ","47","28443","20.8","","","","","","","",""
"6","화학Ⅰ","41","23196","16.96","","","","","","","",""
"7","화학Ⅰ","36","17342","12.68","","","","","","","",""
"8","화학Ⅰ","33","7365","5.39","","","","","","","",""
"9","화학Ⅰ","33","4697","3.43","","","","","","","",""
"1","생명 과학Ⅰ","67","6150","4.48","","","","","","","",""
"2","생명 과학Ⅰ","63","12395","9.02","","","","","","","",""
"3","생명 과학Ⅰ","59","14579","10.61","","","","","","","",""
"4","생명 과학Ⅰ","53","24621","17.92","","","","","","","",""
"5","생명 과학Ⅰ","46","28778","20.95","","","","","","","",""
"6","생명 과학Ⅰ","41","21311","15.51","","","","","","","",""
"7","생명 과학Ⅰ","38","16261","11.84","","","","","","","",""
"8","생명 과학Ⅰ","35","8325","6.06","","","","","","","",""
"9","생명 과학Ⅰ","35","4955","3.61","","","","","","","",""
"1","지구 과학Ⅰ","67","3311","4.2","","","","","","","",""
"2","지구 과학Ⅰ","62","8143","10.33","","","","","","","",""
"3","지구 과학Ⅰ","59","6825","8.66","","","","","","","",""
"4","지구 과학Ⅰ","54","13709","17.39","","","","","","","",""
"5","지구 과학Ⅰ","47","15791","20.03","","","","","","","",""
"6","지구 과학Ⅰ","41","14165","17.97","","","","","","","",""
"7","지구 과학Ⅰ","36","10051","12.75","","","","","","","",""
"8","지구 과학Ⅰ","34","4226","5.36","","","","","","","",""
"9","지구 과학Ⅰ","34","2615","3.32","","","","","","","",""
"1","물리Ⅱ","63","476","8.27","","","","","","","",""
"2","물리Ⅱ","62","180","3.13","","","","","","","",""
"3","물리Ⅱ","59","911","15.82","","","","","","","",""
"4","물리Ⅱ","55","906","15.73","","","","","","","",""
"5","물리Ⅱ","48","1094","19","","","","","","","",""
"6","물리Ⅱ","41","875","15.2","","","","","","","",""
"7","물리Ⅱ","35","779","13.53","","","","","","","",""
"8","물리Ⅱ","33","319","5.54","","","","","","","",""
"9","물리Ⅱ","33","218","3.79","","","","","","","",""
"1","화학Ⅱ","67","433","4.25","","","","","","","",""
"2","화학Ⅱ","63","748","7.33","","","","","","","",""
"3","화학Ⅱ","59","1341","13.15","","","","","","","",""
"4","화학Ⅱ","53","1785","17.5","","","","","","","",""
"5","화학Ⅱ","47","1837","18.01","","","","","","","",""
"6","화학Ⅱ","41","1833","17.97","","","","","","","",""
"7","화학Ⅱ","37","1133","11.11","","","","","","","",""
"8","화학Ⅱ","34","795","7.79","","","","","","","",""
"9","화학Ⅱ","34","295","2.89","","","","","","","",""
"1","생명 과학Ⅱ","65","3575","9.01","","","","","","","",""
"2","생명 과학Ⅱ","63","1133","2.86","","","","","","","",""
"3","생명 과학Ⅱ","59","6409","16.15","","","","","","","",""
"4","생명 과학Ⅱ","54","5022","12.66","","","","","","","",""
"5","생명 과학Ⅱ","46","8127","20.48","","","","","","","",""
"6","생명 과학Ⅱ","41","6694","16.87","","","","","","","",""
