"등급","과목","구분 점수","인원(명)","비율(%)","","",""
"5","지구 과학 Ⅰ","47","32840","21.02","","",""
"6","지구 과학 Ⅰ","41","26648","17.06","","",""
"7","지구 과학 Ⅰ","37","16178","10.36","","",""
"8","지구 과학 Ⅰ","34","10914","6.99","","",""
"9","지구 과학 Ⅰ","34","5798","3.71","","",""
"1","물리 Ⅱ","67","143","5.04","","",""
"2","물리 Ⅱ","65","173","6.09","","",""
"3","물리 Ⅱ","60","337","11.87","","",""
"4","물리 Ⅱ","53","485","17.08","","",""
"5","물리 Ⅱ","44","686","24.16","","",""
"6","물리 Ⅱ","41","439","15.46","","",""
"7","물리 Ⅱ","39","270","9.51","","",""
"8","물리 Ⅱ","36","234","8.24","","",""
"9","물리 Ⅱ","36","72","2.54","","",""
"1","화학 Ⅱ","66","144","4.31","","",""
"2","화학 Ⅱ","63","279","8.35","","",""
"3","화학 Ⅱ","60","357","10.69","","",""
"4","화학 Ⅱ","54","600","17.96","","",""
"5","화학 Ⅱ","46","625","18.71","","",""
"6","화학 Ⅱ","41","582","17.43","","",""
"7","화학 Ⅱ","37","504","15.09","","",""
"8","화학 Ⅱ","35","157","4.7","","",""
"9","화학 Ⅱ","35","92","2.75","","",""
"1","생명 과학 Ⅱ","66","368","4.03","","",""
"2","생명 과학 Ⅱ","63","726","7.94","","",""
"3","생명 과학 Ⅱ","60","1351","14.78","","",""
"4","생명 과학 Ⅱ","54","1341","14.67","","",""
"5","생명 과학 Ⅱ","45","1836","20.09","","",""
"6","생명 과학 Ⅱ","40","1901","20.8","","",""
"7","생명 과학 Ⅱ","37","1025","11.21","","",""
"8","생명 과학 Ⅱ","35","446","4.88","","",""
"9","생명 과학 Ⅱ","35","146","1.6","","",""
"1","지구 과학 Ⅱ","64","594","5.7","","",""
"2","지구 과학 Ⅱ","62","805","7.72","","",""
"3","지구 과학 Ⅱ","59","1394","13.37","","",""
"4","지구 과학 Ⅱ","55","1572","15.08","","",""
"5","지구 과학 Ⅱ","47","1996","19.15","","",""
"6","지구 과학 Ⅱ","40","1925","18.47","","",""
"7","지구 과학 Ⅱ","36","1367","13.11","","",""
"8","지구 과학 Ⅱ","33","569","5.46","","",""
"9","지구 과학 Ⅱ","33","202","1.94","","",""
"1","농업 이해","66","19","6.53","","",""
"2","농업 이해","63","14","4.81","","",""
"3","농업 이해","58","36","12.37","","",""
"4","농업 이해","53","50","17.18","","",""
"5","농업 이해","48","62","21.31","","",""
"6","농업 이해","44","47","16.15","","",""
"7","농업 이해","38","31","10.65","","",""
"8","농업 이해","30","25","8.59","","",""
"9","농업 이해","30","7","2.41","","",""
"1","농업 기초 기술","68","12","4.71","","",""
"2","농업 기초 기술","63","20","7.84","","",""
"3","농업 기초 기술","58","33","12.94","","",""
"4","농업 기초 기술","52","42","16.47","","",""
"5","농업 기초 기술","46","56","21.96","","",""
"6","농업 기초 기술","43","34","13.33","","",""
"7","농업 기초 기술","37","30","11.76","","",""
"8","농업 기초 기술","33","23","9.02","","",""
"9","농업 기초 기술","33","5","1.96","","",""
"1","공업 일반","65","171","9.22","","",""
"2","공업 일반","63","60","3.23","","",""
"3","공업 일반","61","246","13.26","","",""
"4","공업 일반","52","319","17.2","","",""
"5","공업 일반","46","319","17.2","","",""
"6","공업 일반","42","319","17.2","","",""
"7","공업 일반","37","241","12.99","","",""
"8","공업 일반","33","123","6.63","","",""
"9","공업 일반","33","57","3.07","","",""
"1","기초 제도","67","148","9.12","","",""
"2","기초 제도","65","57","3.51","","",""
"3","기초 제도","61","176","10.84","","",""
"4","기초 제도","50","298","18.36","","",""
"5","기초 제도","44","353","21.75","","",""
"6","기초 제도","41","328","20.21","","",""
"7","기초 제도","39","90","5.55","","",""
"8","기초 제도","37","115","7.09","","",""
"9","기초 제도","37","58","3.57","","",""
"1","상업 경제","68","169","7.82","","",""
"2","상업 경제","66","69","3.19","","",""
"3","상업 경제","58","266","12.31","","",""
"4","상업 경제","51","389","18.01","","",""
"5","상업 경제","46","438","20.28","","",""
"6","상업 경제","42","338","15.65","","",""
"7","상업 경제","39","261","12.08","","",""
"8","상업 경제","35","179","8.29","","",""
"9","상업 경제","35","51","2.36","","",""
"1","회계 원리","68","111","5.46","","",""
"2","회계 원리","65","145","7.13","","",""
"3","회계 원리","59","212","10.43","","",""
"4","회계 원리","51","419","20.61","","",""
"5","회계 원리","46","339","16.67","","",""
"6","회계 원리","42","352","17.31","","",""
"7","회계 원리","39","254","12.49","","",""
"8","회계 원리","35","131","6.44","","",""
"9","회계 원리","35","70","3.44","","",""
"1","해양의 이해","71","2","6.45","","",""
"2","해양의 이해","61","3","9.68","","",""
"3","해양의 이해","58","3","9.68","","",""
"4","해양의 이해","48","7","22.58","","",""
"5","해양의 이해","45","7","22.58","","",""
"6","해양의 이해","43","2","6.45","","",""
"7","해양의 이해","40","4","12.9","","",""
"8","해양의 이해","40","3","9.68","","",""
"9","해양의 이해","-","-","-","","",""
"1","수산·해운 산업 기초","66","2","6.67","","",""
"2","수산·해운 산업 기초","64","4","13.33","","",""
"3","수산·해운 산업 기초","61","1","3.33","","",""
"4","수산·해운 산업 기초","53","5","16.67","","",""
"5","수산·해운 산업 기초","48","7","23.33","","",""
"6","수산·해운 산업 기초","40","6","20","","",""
"7","수산·해운 산업 기초","37","2","6.67","","",""
"8","수산·해운 산업 기초","37","3","10","","",""
"9","수산·해운 산업 기초","-","-","-","","",""
"1","인간 발달","68","60","7.03","","",""
"2","인간 발달","66","57","6.68","","",""
"3","인간 발달","60","82","9.61","","",""
"4","인간 발달","50","165","19.34","","",""
"5","인간 발달","45","197","23.09","","",""
"6","인간 발달","41","161","18.87","","",""
"7","인간 발달","39","38","4.45","","",""
"8","인간 발달","36","61","7.15","","",""
"9","인간 발달","36","32","3.75","","",""
"1","생활 서비스 산업의 이해","64","62","6.57","","",""
"2","생활 서비스 산업의 이해","63","47","4.98","","",""
"3","생활 서비스 산업의 이해","58","158","16.74","","",""
"4","생활 서비스 산업의 이해","54","145","15.36","","",""
"5","생활 서비스 산업의 이해","48","169","17.9","","",""
"6","생활 서비스 산업의 이해","42","160","16.95","","",""
"7","생활 서비스 산업의 이해","36","112","11.86","","",""
"8","생활 서비스 산업의 이해","31","57","6.04","","",""
"9","생활 서비스 산업의 이해","31","34","3.6","","",""
"1","독일어 Ⅰ","64","71","6.16","","",""
"2","독일어 Ⅰ","62","67","5.82","","",""
"3","독일어 Ⅰ","60","141","12.24","","",""
"4","독일어 Ⅰ","56","193","16.75","","",""
"5","독일어 Ⅰ","45","225","19.53","","",""
"6","독일어 Ⅰ","40","194","16.84","","",""
"7","독일어 Ⅰ","37","177","15.36","","",""
"8","독일어 Ⅰ","35","60","5.21","","",""
"9","독일어 Ⅰ","35","24","2.08","","",""
"1","프랑스어 Ⅰ","64","70","5.7","","",""
"2","프랑스어 Ⅰ","62","65","5.3","","",""
"3","프랑스어 Ⅰ","60","150","12.22","","",""
"4","프랑스어 Ⅰ","56","210","17.11","","",""
"5","프랑스어 Ⅰ","49","242","19.72","","",""
"6","프랑스어 Ⅰ","39","230","18.74","","",""
"7","프랑스어 Ⅰ","36","145","11.82","","",""
"8","프랑스어 Ⅰ","34","75","6.11","","",""
"9","프랑스어 Ⅰ","34","40","3.26","","",""
"1","스페인어 Ⅰ","66","64","5.36","","",""
"2","스페인어 Ⅰ","63","118","9.88","","",""
"3","스페인어 Ⅰ","60","124","10.39","","",""
"4","스페인어 Ⅰ","54","185","15.49","","",""
"5","스페인어 Ⅰ","44","252","21.11","","",""
"6","스페인어 Ⅰ","41","177","14.82","","",""
"7","스페인어 Ⅰ","39","155","12.98","","",""
"8","스페인어 Ⅰ","36","102","8.54","","",""
"9","스페인어 Ⅰ","36","17","1.42","","",""
"1","중국어 Ⅰ","66","154","4.16","","",""
"2","중국어 Ⅰ","62","353","9.53","","",""
"3","중국어 Ⅰ","59","475","12.82","","",""
"4","중국어 Ⅰ","55","541","14.61","","",""
"5","중국어 Ⅰ","47","755","20.38","","",""
"6","중국어 Ⅰ","40","627","16.93","","",""
"7","중국어 Ⅰ","37","450","12.15","","",""
"8","중국어 Ⅰ","34","240","6.48","","",""
